Residential property sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 8 April 2025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of sales:,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,Sep-96,Sep-97,Sep-98,Sep-99,Sep-00,Sep-01,Sep-02,Sep-03,Sep-04,Sep-05,Sep-06,Sep-07,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23,Area,mnemonic
54,1890,1988,1881,2022,2259,2016,2348,2598,2759,2122,2325,2512,1567,822,904,843,959,1054,1410,1432,1728,1835,1964,2197,1831,2345,1867,1413,ladu2023:Knowsley,E08000011
55,5670,6118,6214,6488,6862,6864,8232,9845,10662,7975,8822,10054,6422,3150,3797,3657,3510,4184,5324,5591,6154,6764,6841,6582,4858,6244,5416,4129,ladu2023:Liverpool,E08000012
56,2209,2344,2410,2652,2910,3066,3474,3495,3927,3030,3212,3535,2200,1102,1383,1386,1460,1618,2150,2226,2483,2569,2489,2543,2094,3145,2519,1776,ladu2023:St. Helens,E08000013
57,3740,4561,4461,4822,5511,4813,5602,5151,5653,4019,4745,5173,3265,1902,2418,2437,2583,2852,3784,3706,4145,3971,4100,4131,3471,5338,4066,3082,ladu2023:Sefton,E08000014
58,4590,5306,5927,6455,6765,6456,7329,7231,7758,5237,6310,7188,4259,2440,3139,3037,3168,3541,4608,4561,4821,5091,4881,4666,3988,6096,4900,3562,ladu2023:Wirral,E08000015
59,3701,3853,3839,3443,3762,4590,5811,6460,7115,5662,6540,6735,3903,2432,2361,2280,2328,2541,3142,3265,3339,2797,3363,3338,2716,3775,3593,2427,"ladu2023:Kingston upon Hull, City of",E06000010
60,6184,6965,6726,7062,8128,8644,9521,8615,9338,6870,8684,8964,5387,3482,4680,4342,4395,4895,6025,6038,6493,6620,6632,6591,5331,8758,6530,4666,ladu2023:East Riding of Yorkshire,E06000011
61,2626,3038,3004,3119,3214,3725,4433,4298,4492,3210,3984,4396,2746,1574,1748,1732,1779,1905,2313,2192,2355,2487,2395,2411,2062,3292,2731,1782,ladu2023:North East Lincolnshire,E06000012
62,2021,2640,2555,2892,3351,3611,4407,3982,3906,2625,3400,3731,2327,1416,1697,1706,1694,1858,2303,2371,2546,2704,2677,2503,2049,3138,2650,1889,ladu2023:North Lincolnshire,E06000013
63,3013,4151,3779,4423,5036,4549,5028,4321,4959,3792,4788,4500,2704,2370,3019,2792,2801,3215,3823,3382,3551,3564,3274,3192,2529,4228,2884,2135,ladu2023:York,E06000014
